year,month,day,hour,minute,second,pulse,spo2
2024,10,24,15,29,55,500,500
2024,10,24,15,29,59,500,500
2024,10,24,15,30,3,500,92
2024,10,24,15,30,7,72,92
2024,10,24,15,30,11,72,93
2024,10,24,15,30,15,72,93
2024,10,24,15,30,19,72,93
2024,10,24,15,30,23,72,93
2024,10,24,15,30,27,79,95
2024,10,24,15,30,31,79,95
2024,10,24,15,30,35,79,95
2024,10,24,15,30,39,88,95
2024,10,24,15,30,43,89,95
2024,10,24,15,30,47,89,97
2024,10,24,15,30,51,89,97
2024,10,24,15,30,55,97,97
2024,10,24,15,30,59,102,96
2024,10,24,15,31,3,99,98
2024,10,24,15,31,7,95,98
2024,10,24,15,31,11,88,98
2024,10,24,15,31,15,77,97
2024,10,24,15,31,19,78,97
2024,10,24,15,31,23,79,96
2024,10,24,15,31,27,77,96
2024,10,24,15,31,31,75,95
2024,10,24,15,31,35,75,95
2024,10,24,15,31,39,74,96
2024,10,24,15,31,43,71,95
2024,10,24,15,31,47,70,95
2024,10,24,15,31,51,72,95
2024,10,24,15,31,55,69,96
2024,10,24,15,31,59,70,96
2024,10,24,15,32,3,70,96
2024,10,24,15,32,7,71,96
2024,10,24,15,32,11,69,96
2024,10,24,15,32,15,70,96
2024,10,24,15,32,19,71,96
2024,10,24,15,32,23,71,96
2024,10,24,15,32,27,71,95
2024,10,24,15,32,31,69,95
2024,10,24,15,32,35,70,95
2024,10,24,15,32,39,71,96
2024,10,24,15,32,43,70,95
2024,10,24,15,32,47,72,95
2024,10,24,15,32,51,73,96
2024,10,24,15,32,55,72,96
2024,10,24,15,32,59,72,96
2024,10,24,15,33,3,75,96
2024,10,24,15,33,7,73,95
2024,10,24,15,33,11,74,95
2024,10,24,15,33,15,75,95
2024,10,24,15,33,19,74,96
2024,10,24,15,33,23,73,96
2024,10,24,15,33,27,70,96
2024,10,24,15,33,31,67,96
2024,10,24,15,33,35,67,96
2024,10,24,15,33,39,73,96
2024,10,24,15,33,43,71,96
2024,10,24,15,33,47,65,96
2024,10,24,15,33,51,76,96
2024,10,24,15,33,55,78,97
2024,10,24,15,33,59,75,96
2024,10,24,15,34,3,72,96
2024,10,24,15,34,7,73,96
2024,10,24,15,34,11,76,96
2024,10,24,15,34,15,75,96
2024,10,24,15,34,19,73,96
2024,10,24,15,34,23,76,96
2024,10,24,15,34,27,84,95
2024,10,24,15,34,31,85,95
2024,10,24,15,34,35,71,96
2024,10,24,15,34,39,67,96
2024,10,24,15,34,43,69,97
2024,10,24,15,34,47,69,97
2024,10,24,15,34,51,69,97
2024,10,24,15,34,55,70,96
2024,10,24,15,34,59,76,96
2024,10,24,15,35,3,72,96
2024,10,24,15,35,7,72,96
2024,10,24,15,35,11,73,96
2024,10,24,15,35,15,76,96
2024,10,24,15,35,19,76,95
2024,10,24,15,35,23,77,95
2024,10,24,15,35,27,69,95
2024,10,24,15,35,31,70,96
2024,10,24,15,35,35,67,97
2024,10,24,15,35,39,66,96
2024,10,24,15,35,43,65,96
2024,10,24,15,35,47,66,96
2024,10,24,15,35,51,68,96
2024,10,24,15,35,55,70,96
2024,10,24,15,35,59,71,96
2024,10,24,15,36,3,70,95
2024,10,24,15,36,7,68,96
2024,10,24,15,36,11,70,96
2024,10,24,15,36,15,71,96
2024,10,24,15,36,19,72,96
2024,10,24,15,36,23,72,96
2024,10,24,15,36,27,71,96
2024,10,24,15,36,31,71,95
2024,10,24,15,36,35,73,95
2024,10,24,15,36,39,76,95
2024,10,24,15,36,43,75,95
2024,10,24,15,36,47,72,96
2024,10,24,15,36,51,75,95
2024,10,24,15,36,55,77,96
2024,10,24,15,36,59,80,97
2024,10,24,15,37,3,85,96
2024,10,24,15,37,7,85,96
2024,10,24,15,37,11,84,96
2024,10,24,15,37,15,83,97
2024,10,24,15,37,19,82,96
2024,10,24,15,37,23,80,96
2024,10,24,15,37,27,81,96
2024,10,24,15,37,31,81,96
2024,10,24,15,37,35,80,94
2024,10,24,15,37,39,79,93
2024,10,24,15,37,43,77,94
2024,10,24,15,37,47,75,94
2024,10,24,15,37,51,76,95
2024,10,24,15,37,55,77,95
2024,10,24,15,37,59,76,93
2024,10,24,15,38,3,75,93
2024,10,24,15,38,7,76,94
2024,10,24,15,38,11,76,93
2024,10,24,15,38,15,75,93
2024,10,24,15,38,19,74,93
2024,10,24,15,38,23,76,93
2024,10,24,15,38,27,75,93
2024,10,24,15,38,31,77,93
2024,10,24,15,38,35,75,91
2024,10,24,15,38,39,75,91
2024,10,24,15,38,43,75,92
2024,10,24,15,38,47,76,93
2024,10,24,15,38,51,78,92
2024,10,24,15,38,55,80,92
2024,10,24,15,38,59,82,91
2024,10,24,15,39,3,81,92
2024,10,24,15,39,7,83,91
2024,10,24,15,39,11,81,91
2024,10,24,15,39,15,81,92
2024,10,24,15,39,19,80,93
2024,10,24,15,39,23,81,93
2024,10,24,15,39,27,79,93
2024,10,24,15,39,31,78,92
2024,10,24,15,39,35,78,93
2024,10,24,15,39,39,81,92
2024,10,24,15,39,43,82,91
2024,10,24,15,39,47,78,92
2024,10,24,15,39,51,79,93
2024,10,24,15,39,55,80,92
2024,10,24,15,39,59,79,91
2024,10,24,15,40,3,80,91
2024,10,24,15,40,7,79,91
2024,10,24,15,40,11,84,91
2024,10,24,15,40,15,83,91
2024,10,24,15,40,19,82,93
2024,10,24,15,40,23,83,93
2024,10,24,15,40,27,84,93
2024,10,24,15,40,31,85,93
2024,10,24,15,40,35,85,93
2024,10,24,15,40,39,84,92
2024,10,24,15,40,43,88,93
2024,10,24,15,40,47,85,93
2024,10,24,15,40,51,85,95
