year,month,day,hour,minute,second,pulse,spo2
2024,11,18,16,32,33,500,500
2024,11,18,16,32,37,500,500
2024,11,18,16,32,41,79,98
2024,11,18,16,32,45,72,97
2024,11,18,16,32,49,69,98
2024,11,18,16,32,53,73,98
2024,11,18,16,32,57,71,98
2024,11,18,16,33,1,76,97
2024,11,18,16,33,5,75,97
2024,11,18,16,33,9,75,97
2024,11,18,16,33,13,73,97
2024,11,18,16,33,17,73,97
2024,11,18,16,33,21,75,97
2024,11,18,16,33,25,86,98
2024,11,18,16,33,29,80,96
2024,11,18,16,33,33,77,96
2024,11,18,16,33,37,76,97
2024,11,18,16,33,41,76,98
2024,11,18,16,33,45,81,97
2024,11,18,16,33,49,73,97
2024,11,18,16,33,53,73,98
2024,11,18,16,33,57,76,98
2024,11,18,16,34,1,69,98
2024,11,18,16,34,5,73,98
2024,11,18,16,34,9,80,96
2024,11,18,16,34,13,78,95
2024,11,18,16,34,17,74,95
2024,11,18,16,34,21,70,95
2024,11,18,16,34,25,69,97
2024,11,18,16,34,29,74,96
2024,11,18,16,34,33,70,96
2024,11,18,16,34,37,66,96
2024,11,18,16,34,41,64,97
2024,11,18,16,34,45,69,96
2024,11,18,16,34,49,70,96
2024,11,18,16,34,53,69,96
2024,11,18,16,34,57,72,96
2024,11,18,16,35,1,72,96
2024,11,18,16,35,5,71,96
2024,11,18,16,35,9,66,96
2024,11,18,16,35,13,66,96
2024,11,18,16,35,17,69,96
2024,11,18,16,35,21,71,95
2024,11,18,16,35,25,70,95
2024,11,18,16,35,29,73,96
2024,11,18,16,35,33,71,95
2024,11,18,16,35,37,68,95
2024,11,18,16,35,41,66,97
2024,11,18,16,35,45,65,98
2024,11,18,16,35,49,67,97
2024,11,18,16,35,53,67,96
2024,11,18,16,35,57,70,95
2024,11,18,16,36,1,74,95
2024,11,18,16,36,5,84,94
2024,11,18,16,36,9,90,93
2024,11,18,16,36,13,86,95
2024,11,18,16,36,17,82,98
2024,11,18,16,36,21,84,98
2024,11,18,16,36,25,80,97
2024,11,18,16,36,29,78,96
2024,11,18,16,36,33,74,96
2024,11,18,16,36,37,72,96
2024,11,18,16,36,41,71,97
2024,11,18,16,36,45,68,97
2024,11,18,16,36,49,68,97
2024,11,18,16,36,53,67,97
2024,11,18,16,36,57,68,97
2024,11,18,16,37,1,63,97
2024,11,18,16,37,5,60,97
2024,11,18,16,37,9,65,97
2024,11,18,16,37,13,68,96
2024,11,18,16,37,17,61,96
2024,11,18,16,37,21,61,96
2024,11,18,16,37,25,63,97
2024,11,18,16,37,29,59,96
2024,11,18,16,37,33,67,95
2024,11,18,16,37,37,71,95
2024,11,18,16,37,41,67,94
2024,11,18,16,37,45,66,94
2024,11,18,16,37,49,69,95
2024,11,18,16,37,53,69,97
2024,11,18,16,37,57,67,97
2024,11,18,16,38,1,65,98
2024,11,18,16,38,5,62,98
2024,11,18,16,38,9,61,97
2024,11,18,16,38,13,61,97
2024,11,18,16,38,17,63,96
2024,11,18,16,38,21,69,95
2024,11,18,16,38,25,67,95
2024,11,18,16,38,29,63,96
2024,11,18,16,38,33,61,96
2024,11,18,16,38,37,62,97
2024,11,18,16,38,41,61,97
2024,11,18,16,38,45,66,96
2024,11,18,16,38,49,70,96
2024,11,18,16,38,53,65,96
2024,11,18,16,38,57,62,97
2024,11,18,16,39,1,65,97
2024,11,18,16,39,5,65,97
2024,11,18,16,39,9,64,96
2024,11,18,16,39,13,65,96
2024,11,18,16,39,17,60,96
2024,11,18,16,39,21,60,96
2024,11,18,16,39,25,60,96
2024,11,18,16,39,29,66,96
2024,11,18,16,39,33,63,96
2024,11,18,16,39,37,61,96
2024,11,18,16,39,41,66,95
2024,11,18,16,39,45,68,95
2024,11,18,16,39,49,69,95
2024,11,18,16,39,53,62,96
2024,11,18,16,39,57,63,97
2024,11,18,16,40,1,65,97
2024,11,18,16,40,5,66,96
2024,11,18,16,40,9,64,95
2024,11,18,16,40,13,73,95
2024,11,18,16,40,17,79,94
2024,11,18,16,40,21,70,94
2024,11,18,16,40,25,66,96
2024,11,18,16,40,29,68,97
2024,11,18,16,40,33,68,98
2024,11,18,16,40,37,67,98
2024,11,18,16,40,41,60,97
2024,11,18,16,40,45,63,96
2024,11,18,16,40,49,67,95
2024,11,18,16,40,53,69,94
2024,11,18,16,40,57,63,94
2024,11,18,16,41,1,64,96
2024,11,18,16,41,5,63,97
2024,11,18,16,41,9,64,96
2024,11,18,16,41,13,67,96
2024,11,18,16,41,17,69,95
2024,11,18,16,41,21,68,95
2024,11,18,16,41,25,65,95
2024,11,18,16,41,29,66,95
2024,11,18,16,41,33,66,96
2024,11,18,16,41,37,64,95
2024,11,18,16,41,41,66,95
2024,11,18,16,41,45,62,95
2024,11,18,16,41,49,65,95
2024,11,18,16,41,53,64,95
2024,11,18,16,41,57,65,94
2024,11,18,16,42,1,85,92
2024,11,18,16,42,5,72,90
2024,11,18,16,42,9,72,90
2024,11,18,16,42,13,79,94
2024,11,18,16,42,17,80,97
2024,11,18,16,42,21,75,98
2024,11,18,16,42,25,72,98
2024,11,18,16,42,29,76,98
2024,11,18,16,42,33,72,97
2024,11,18,16,42,37,74,97
2024,11,18,16,42,41,72,97
2024,11,18,16,42,45,73,98
2024,11,18,16,42,49,72,98
2024,11,18,16,42,53,72,98
2024,11,18,16,42,57,70,98
2024,11,18,16,43,1,67,98
2024,11,18,16,43,5,68,98
2024,11,18,16,43,9,68,97
2024,11,18,16,43,13,75,97
2024,11,18,16,43,17,77,96
2024,11,18,16,43,21,70,96
2024,11,18,16,43,25,69,98
2024,11,18,16,43,29,71,98
2024,11,18,16,43,33,68,98
2024,11,18,16,43,37,64,98
2024,11,18,16,43,41,70,97
2024,11,18,16,43,45,72,96
2024,11,18,16,43,49,67,96
2024,11,18,16,43,53,67,97
2024,11,18,16,43,57,68,96
2024,11,18,16,44,1,64,96
2024,11,18,16,44,5,65,96
2024,11,18,16,44,9,67,96
2024,11,18,16,44,13,66,96
2024,11,18,16,44,17,68,96
2024,11,18,16,44,21,74,96
2024,11,18,16,44,25,75,95
2024,11,18,16,44,29,70,96
2024,11,18,16,44,33,72,97
2024,11,18,16,44,37,65,98
2024,11,18,16,44,41,62,98
2024,11,18,16,44,45,62,98
2024,11,18,16,44,49,65,96
2024,11,18,16,44,53,65,95
2024,11,18,16,44,57,69,93
2024,11,18,16,45,1,77,93
2024,11,18,16,45,5,76,93
2024,11,18,16,45,9,73,95
2024,11,18,16,45,13,69,97
2024,11,18,16,45,17,67,98
2024,11,18,16,45,21,66,98
2024,11,18,16,45,25,64,97
2024,11,18,16,45,29,64,96
2024,11,18,16,45,33,70,94
2024,11,18,16,45,37,79,93
2024,11,18,16,45,41,77,93
2024,11,18,16,45,45,83,93
2024,11,18,16,45,49,72,95
2024,11,18,16,45,53,66,98
2024,11,18,16,45,57,64,98
2024,11,18,16,46,1,62,98
2024,11,18,16,46,5,62,97
2024,11,18,16,46,9,63,95
2024,11,18,16,46,13,78,91
2024,11,18,16,46,17,81,90
2024,11,18,16,46,21,70,92
2024,11,18,16,46,25,64,96
2024,11,18,16,46,29,61,98
2024,11,18,16,46,33,61,98
2024,11,18,16,46,37,62,98
2024,11,18,16,46,41,67,96
2024,11,18,16,46,45,67,93
2024,11,18,16,46,49,77,91
2024,11,18,16,46,53,78,90
2024,11,18,16,46,57,69,93
2024,11,18,16,47,1,66,97
2024,11,18,16,47,5,64,97
2024,11,18,16,47,9,65,98
2024,11,18,16,47,13,66,96
2024,11,18,16,47,17,69,95
2024,11,18,16,47,21,61,95
2024,11,18,16,47,25,60,96
2024,11,18,16,47,29,61,97
2024,11,18,16,47,33,63,96
2024,11,18,16,47,37,65,95
2024,11,18,16,47,41,69,95
2024,11,18,16,47,45,68,94
2024,11,18,16,47,49,69,94
2024,11,18,16,47,53,70,94
2024,11,18,16,47,57,67,94
2024,11,18,16,48,1,67,94
2024,11,18,16,48,5,68,94
2024,11,18,16,48,9,65,95
2024,11,18,16,48,13,61,96
2024,11,18,16,48,17,62,97
2024,11,18,16,48,21,62,96
2024,11,18,16,48,25,62,95
2024,11,18,16,48,29,64,95
2024,11,18,16,48,33,66,94
2024,11,18,16,48,37,69,94
2024,11,18,16,48,41,68,95
2024,11,18,16,48,45,65,95
2024,11,18,16,48,49,71,96
2024,11,18,16,48,53,74,96
2024,11,18,16,48,57,73,96
2024,11,18,16,49,1,67,96
2024,11,18,16,49,5,65,98
2024,11,18,16,49,9,65,97
2024,11,18,16,49,13,64,96
2024,11,18,16,49,17,64,96
2024,11,18,16,49,21,64,95
2024,11,18,16,49,25,64,96
2024,11,18,16,49,29,66,96
2024,11,18,16,49,33,66,95
2024,11,18,16,49,37,68,95
2024,11,18,16,49,41,69,95
2024,11,18,16,49,45,70,95
2024,11,18,16,49,49,70,94
2024,11,18,16,49,53,67,94
2024,11,18,16,49,57,66,94
