year,month,day,hour,minute,second,pulse,spo2
2024,10,22,3,37,48,500,500
2024,10,22,3,37,52,500,500
2024,10,22,3,37,56,90,98
2024,10,22,3,38,0,91,98
2024,10,22,3,38,4,88,97
2024,10,22,3,38,8,87,98
2024,10,22,3,38,12,97,98
2024,10,22,3,38,16,99,98
2024,10,22,3,38,20,96,99
2024,10,22,3,38,24,96,99
2024,10,22,3,38,28,96,99
2024,10,22,3,38,32,94,98
2024,10,22,3,38,36,91,99
2024,10,22,3,38,40,88,99
2024,10,22,3,38,44,88,98
2024,10,22,3,38,48,95,99
2024,10,22,3,38,52,98,99
2024,10,22,3,38,56,100,99
2024,10,22,3,39,0,86,99
2024,10,22,3,39,4,84,99
2024,10,22,3,39,8,90,99
2024,10,22,3,39,12,92,99
2024,10,22,3,39,16,88,99
2024,10,22,3,39,20,87,99
2024,10,22,3,39,24,93,99
2024,10,22,3,39,28,95,99
2024,10,22,3,39,32,98,99
2024,10,22,3,39,36,103,99
2024,10,22,3,39,40,98,99
2024,10,22,3,39,44,89,99
2024,10,22,3,39,48,85,99
2024,10,22,3,39,52,81,99
2024,10,22,3,39,56,88,99
2024,10,22,3,40,0,97,99
2024,10,22,3,40,4,97,99
2024,10,22,3,40,8,96,99
2024,10,22,3,40,12,98,99
2024,10,22,3,40,16,96,98
2024,10,22,3,40,20,101,98
2024,10,22,3,40,24,98,98
2024,10,22,3,40,28,90,98
2024,10,22,3,40,32,88,99
2024,10,22,3,40,36,97,99
2024,10,22,3,40,40,100,99
2024,10,22,3,40,44,101,99
2024,10,22,3,40,48,96,99
2024,10,22,3,40,52,98,99
2024,10,22,3,40,56,87,99
2024,10,22,3,41,0,84,99
2024,10,22,3,41,4,86,99
2024,10,22,3,41,8,83,99
2024,10,22,3,41,12,86,99
2024,10,22,3,41,16,82,99
2024,10,22,3,41,20,87,99
2024,10,22,3,41,24,88,99
2024,10,22,3,41,28,84,99
2024,10,22,3,41,32,84,99
2024,10,22,3,41,36,95,99
2024,10,22,3,41,40,99,98
2024,10,22,3,41,44,98,98
2024,10,22,3,41,48,95,99
2024,10,22,3,41,52,87,99
2024,10,22,3,41,56,85,99
2024,10,22,3,42,0,90,99
2024,10,22,3,42,4,97,99
2024,10,22,3,42,8,93,99
2024,10,22,3,42,12,89,99
2024,10,22,3,42,16,83,99
2024,10,22,3,42,20,82,99
2024,10,22,3,42,24,92,99
2024,10,22,3,42,28,90,99
2024,10,22,3,42,32,94,99
2024,10,22,3,42,36,100,99
2024,10,22,3,42,40,98,99
2024,10,22,3,42,44,90,99
2024,10,22,3,42,48,87,99
2024,10,22,3,42,52,87,99
2024,10,22,3,42,56,95,99
2024,10,22,3,43,0,100,99
2024,10,22,3,43,4,101,99
2024,10,22,3,43,8,99,99
2024,10,22,3,43,12,92,99
2024,10,22,3,43,16,94,99
2024,10,22,3,43,20,92,99
2024,10,22,3,43,24,96,98
2024,10,22,3,43,28,93,99
2024,10,22,3,43,32,99,99
2024,10,22,3,43,36,98,99
2024,10,22,3,43,40,100,99
2024,10,22,3,43,44,101,99
2024,10,22,3,43,48,91,99
2024,10,22,3,43,52,88,99
2024,10,22,3,43,56,96,99
2024,10,22,3,44,0,100,99
2024,10,22,3,44,4,99,99
2024,10,22,3,44,8,101,99
2024,10,22,3,44,12,94,99
2024,10,22,3,44,16,92,99
2024,10,22,3,44,20,96,99
2024,10,22,3,44,24,94,99
2024,10,22,3,44,28,97,99
2024,10,22,3,44,32,90,99
2024,10,22,3,44,36,93,99
2024,10,22,3,44,40,82,99
2024,10,22,3,44,44,84,99
2024,10,22,3,44,48,92,99
2024,10,22,3,44,52,101,99
2024,10,22,3,44,56,102,99
2024,10,22,3,45,0,92,99
2024,10,22,3,45,4,80,99
2024,10,22,3,45,8,80,99
2024,10,22,3,45,12,89,99
2024,10,22,3,45,16,87,99
2024,10,22,3,45,20,93,99
2024,10,22,3,45,24,95,99
2024,10,22,3,45,28,92,99
2024,10,22,3,45,32,89,98
2024,10,22,3,45,36,85,98
2024,10,22,3,45,40,88,99
2024,10,22,3,45,44,91,99
2024,10,22,3,45,48,85,99
2024,10,22,3,45,52,84,99
2024,10,22,3,45,56,87,99
2024,10,22,3,46,0,94,99
2024,10,22,3,46,4,97,99
2024,10,22,3,46,8,87,99
2024,10,22,3,46,12,86,99
2024,10,22,3,46,16,84,99
2024,10,22,3,46,20,91,99
2024,10,22,3,46,24,99,99
2024,10,22,3,46,28,102,99
2024,10,22,3,46,32,88,99
2024,10,22,3,46,36,84,99
2024,10,22,3,46,40,87,99
2024,10,22,3,46,44,86,99
2024,10,22,3,46,48,90,99
2024,10,22,3,46,52,80,99
2024,10,22,3,46,56,75,99
2024,10,22,3,47,0,83,99
2024,10,22,3,47,4,87,99
2024,10,22,3,47,8,98,99
2024,10,22,3,47,12,98,99
2024,10,22,3,47,16,99,99
2024,10,22,3,47,20,76,99
2024,10,22,3,47,24,73,99
2024,10,22,3,47,28,93,99
2024,10,22,3,47,32,84,99
2024,10,22,3,47,36,81,99
2024,10,22,3,47,40,82,99
2024,10,22,3,47,44,82,99
2024,10,22,3,47,48,88,99
2024,10,22,3,47,52,82,99
2024,10,22,3,47,56,81,99
2024,10,22,3,48,0,82,99
2024,10,22,3,48,4,85,99
2024,10,22,3,48,8,86,99
2024,10,22,3,48,12,86,99
2024,10,22,3,48,16,92,99
2024,10,22,3,48,20,98,99
2024,10,22,3,48,24,92,99
2024,10,22,3,48,28,84,99
2024,10,22,3,48,32,85,99
2024,10,22,3,48,36,82,99
2024,10,22,3,48,40,84,99
2024,10,22,3,48,44,86,99
2024,10,22,3,48,48,87,99
2024,10,22,3,48,52,93,99
2024,10,22,3,48,56,90,99
2024,10,22,3,49,0,85,99
2024,10,22,3,49,4,85,99
2024,10,22,3,49,8,90,99
2024,10,22,3,49,12,84,99
2024,10,22,3,49,16,82,99
2024,10,22,3,49,20,87,99
2024,10,22,3,49,24,84,99
2024,10,22,3,49,28,87,99
2024,10,22,3,49,32,85,99
2024,10,22,3,49,36,97,99
2024,10,22,3,49,40,101,99
2024,10,22,3,49,44,92,99
2024,10,22,3,49,48,88,99
2024,10,22,3,49,52,83,99
2024,10,22,3,49,56,91,99
2024,10,22,3,50,0,95,99
2024,10,22,3,50,4,92,99
2024,10,22,3,50,8,88,99
2024,10,22,3,50,12,91,99
2024,10,22,3,50,16,92,99
2024,10,22,3,50,20,86,99
2024,10,22,3,50,24,83,99
2024,10,22,3,50,28,83,99
2024,10,22,3,50,32,76,99
2024,10,22,3,50,36,81,99
2024,10,22,3,50,40,84,99
2024,10,22,3,50,44,84,99
2024,10,22,3,50,48,90,99
2024,10,22,3,50,52,88,99
2024,10,22,3,50,56,85,99
2024,10,22,3,51,0,79,99
2024,10,22,3,51,4,79,99
2024,10,22,3,51,8,85,99
2024,10,22,3,51,12,89,99
2024,10,22,3,51,16,87,99
2024,10,22,3,51,20,98,99
2024,10,22,3,51,24,101,99
2024,10,22,3,51,28,87,99
2024,10,22,3,51,32,87,99
2024,10,22,3,51,36,91,99
2024,10,22,3,51,40,85,99
2024,10,22,3,51,44,84,99
2024,10,22,3,51,48,94,99
2024,10,22,3,51,52,99,99
2024,10,22,3,51,56,84,99
2024,10,22,3,52,0,87,99
2024,10,22,3,52,4,82,99
2024,10,22,3,52,8,85,99
2024,10,22,3,52,12,80,99
2024,10,22,3,52,16,87,99
2024,10,22,3,52,20,88,99
2024,10,22,3,52,24,83,99
2024,10,22,3,52,28,84,99
2024,10,22,3,52,32,86,99
2024,10,22,3,52,36,82,99
2024,10,22,3,52,40,82,99
2024,10,22,3,52,44,87,99
2024,10,22,3,52,48,87,99
2024,10,22,3,52,52,85,99
2024,10,22,3,52,56,93,99
2024,10,22,3,53,0,89,99
2024,10,22,3,53,4,87,99
2024,10,22,3,53,8,83,99
2024,10,22,3,53,12,93,99
2024,10,22,3,53,16,97,99
2024,10,22,3,53,20,89,99
2024,10,22,3,53,24,92,99
2024,10,22,3,53,28,94,99
2024,10,22,3,53,32,95,99
2024,10,22,3,53,36,83,99
2024,10,22,3,53,40,83,99
2024,10,22,3,53,44,86,99
2024,10,22,3,53,48,88,99
2024,10,22,3,53,52,85,99
2024,10,22,3,53,56,82,99
2024,10,22,3,54,0,85,99
2024,10,22,3,54,4,93,99
2024,10,22,3,54,8,102,99
2024,10,22,3,54,12,103,99
2024,10,22,3,54,16,99,99
2024,10,22,3,54,20,92,99
