year,month,day,hour,minute,second,pulse,spo2
2024,9,18,15,24,1,500,500
2024,9,18,15,24,5,500,500
2024,9,18,15,24,9,112,97
2024,9,18,15,24,13,115,97
2024,9,18,15,24,17,115,98
2024,9,18,15,24,21,120,98
2024,9,18,15,24,25,115,98
2024,9,18,15,24,29,115,98
2024,9,18,15,24,33,115,98
2024,9,18,15,24,37,116,98
2024,9,18,15,24,41,116,98
2024,9,18,15,24,45,119,98
2024,9,18,15,24,49,120,98
2024,9,18,15,24,53,120,98
2024,9,18,15,24,57,120,98
2024,9,18,15,25,1,120,98
2024,9,18,15,25,5,120,98
2024,9,18,15,25,9,500,500
2024,9,18,15,25,13,120,98
2024,9,18,15,25,17,125,98
2024,9,18,15,25,21,119,98
2024,9,18,15,25,25,117,99
2024,9,18,15,25,29,113,99
2024,9,18,15,25,33,111,99
2024,9,18,15,25,37,110,99
2024,9,18,15,25,41,112,99
2024,9,18,15,25,45,112,98
2024,9,18,15,25,49,110,98
2024,9,18,15,25,53,108,98
2024,9,18,15,25,57,114,98
2024,9,18,15,26,1,118,98
2024,9,18,15,26,5,119,98
2024,9,18,15,26,9,122,98
2024,9,18,15,26,13,123,98
2024,9,18,15,26,17,121,98
2024,9,18,15,26,21,121,98
2024,9,18,15,26,25,122,98
2024,9,18,15,26,29,120,98
2024,9,18,15,26,33,122,98
2024,9,18,15,26,37,125,98
2024,9,18,15,26,41,127,99
2024,9,18,15,26,45,126,99
2024,9,18,15,26,49,123,98
2024,9,18,15,26,53,125,98
2024,9,18,15,26,57,120,98
2024,9,18,15,27,1,120,98
2024,9,18,15,27,5,113,98
2024,9,18,15,27,9,115,98
2024,9,18,15,27,13,117,99
2024,9,18,15,27,17,121,98
2024,9,18,15,27,21,123,98
2024,9,18,15,27,25,122,98
2024,9,18,15,27,29,123,98
2024,9,18,15,27,33,126,98
2024,9,18,15,27,37,122,98
2024,9,18,15,27,41,122,98
2024,9,18,15,27,45,121,98
2024,9,18,15,27,49,121,98
2024,9,18,15,27,53,121,98
2024,9,18,15,27,57,122,98
2024,9,18,15,28,1,122,98
2024,9,18,15,28,5,118,98
2024,9,18,15,28,9,119,98
2024,9,18,15,28,13,118,98
2024,9,18,15,28,17,112,98
2024,9,18,15,28,21,112,98
2024,9,18,15,28,25,113,98
2024,9,18,15,28,29,117,98
2024,9,18,15,28,33,117,98
2024,9,18,15,28,37,120,98
2024,9,18,15,28,41,119,98
2024,9,18,15,28,45,124,98
2024,9,18,15,28,49,122,99
2024,9,18,15,28,53,122,98
2024,9,18,15,28,57,126,98
2024,9,18,15,29,1,127,99
2024,9,18,15,29,5,125,98
2024,9,18,15,29,9,124,98
2024,9,18,15,29,13,125,98
2024,9,18,15,29,17,124,99
2024,9,18,15,29,21,126,98
2024,9,18,15,29,25,127,98
2024,9,18,15,29,29,122,98
2024,9,18,15,29,33,123,98
2024,9,18,15,29,37,123,98
2024,9,18,15,29,41,124,99
2024,9,18,15,29,45,126,99
2024,9,18,15,29,49,128,98
2024,9,18,15,29,53,128,98
2024,9,18,15,29,57,128,98
2024,9,18,15,30,1,127,99
2024,9,18,15,30,5,130,98
2024,9,18,15,30,9,129,98
2024,9,18,15,30,13,129,98
2024,9,18,15,30,17,129,98
2024,9,18,15,30,21,130,99
2024,9,18,15,30,25,129,98
2024,9,18,15,30,29,129,98
2024,9,18,15,30,33,130,98
2024,9,18,15,30,37,129,98
2024,9,18,15,30,41,129,98
2024,9,18,15,30,45,129,98
2024,9,18,15,30,49,126,98
2024,9,18,15,30,53,124,98
2024,9,18,15,30,57,126,98
2024,9,18,15,31,1,128,98
2024,9,18,15,31,5,128,98
2024,9,18,15,31,9,129,98
2024,9,18,15,31,13,129,98
2024,9,18,15,31,17,130,98
2024,9,18,15,31,21,128,98
2024,9,18,15,31,25,127,98
2024,9,18,15,31,29,126,98
2024,9,18,15,31,33,125,98
2024,9,18,15,31,37,127,98
2024,9,18,15,31,41,129,98
2024,9,18,15,31,45,131,98
2024,9,18,15,31,49,129,99
2024,9,18,15,31,53,128,98
2024,9,18,15,31,57,130,98
2024,9,18,15,32,1,129,98
2024,9,18,15,32,5,127,98
2024,9,18,15,32,9,128,98
2024,9,18,15,32,13,127,98
2024,9,18,15,32,17,128,98
2024,9,18,15,32,21,127,98
2024,9,18,15,32,25,129,98
2024,9,18,15,32,29,130,98
2024,9,18,15,32,33,126,99
2024,9,18,15,32,37,126,99
2024,9,18,15,32,41,126,99
2024,9,18,15,32,45,127,98
2024,9,18,15,32,49,126,98
2024,9,18,15,32,53,126,98
2024,9,18,15,32,57,126,99
2024,9,18,15,33,1,126,98
2024,9,18,15,33,5,129,99
2024,9,18,15,33,9,130,98
2024,9,18,15,33,13,131,98
2024,9,18,15,33,17,129,99
2024,9,18,15,33,21,129,99
2024,9,18,15,33,25,125,98
2024,9,18,15,33,29,126,98
2024,9,18,15,33,33,126,99
2024,9,18,15,33,37,121,99
2024,9,18,15,33,41,119,99
2024,9,18,15,33,45,118,98
2024,9,18,15,33,49,118,98
2024,9,18,15,33,53,122,98
2024,9,18,15,33,57,123,98
2024,9,18,15,34,1,123,98
2024,9,18,15,34,5,122,99
2024,9,18,15,34,9,121,99
2024,9,18,15,34,13,121,99
2024,9,18,15,34,17,121,99
2024,9,18,15,34,21,123,99
2024,9,18,15,34,25,118,98
2024,9,18,15,34,29,118,99
2024,9,18,15,34,33,120,99
2024,9,18,15,34,37,122,99
2024,9,18,15,34,41,122,99
2024,9,18,15,34,45,122,98
2024,9,18,15,34,49,122,98
2024,9,18,15,34,53,123,98
2024,9,18,15,34,57,124,99
2024,9,18,15,35,1,125,99
2024,9,18,15,35,5,127,99
2024,9,18,15,35,9,128,99
2024,9,18,15,35,13,126,99
2024,9,18,15,35,17,125,98
2024,9,18,15,35,21,125,98
