year,month,day,hour,minute,second,pulse,spo2
2024,11,26,23,34,19,500,500
2024,11,26,23,34,23,500,500
2024,11,26,23,34,27,500,500
2024,11,26,23,34,31,92,99
2024,11,26,23,34,35,90,99
2024,11,26,23,34,39,88,99
2024,11,26,23,34,43,91,98
2024,11,26,23,34,47,95,98
2024,11,26,23,34,51,96,98
2024,11,26,23,34,55,92,98
2024,11,26,23,34,59,89,98
2024,11,26,23,35,3,88,98
2024,11,26,23,35,7,88,98
2024,11,26,23,35,11,86,98
2024,11,26,23,35,15,87,98
2024,11,26,23,35,19,85,98
2024,11,26,23,35,23,85,98
2024,11,26,23,35,27,86,98
2024,11,26,23,35,31,86,98
2024,11,26,23,35,35,85,98
2024,11,26,23,35,39,85,98
2024,11,26,23,35,43,86,98
2024,11,26,23,35,47,87,98
2024,11,26,23,35,51,87,98
2024,11,26,23,35,55,87,98
2024,11,26,23,35,59,88,98
2024,11,26,23,36,3,94,98
2024,11,26,23,36,7,97,98
2024,11,26,23,36,11,92,98
2024,11,26,23,36,15,88,98
2024,11,26,23,36,19,84,98
2024,11,26,23,36,23,84,98
2024,11,26,23,36,27,84,98
2024,11,26,23,36,31,82,98
2024,11,26,23,36,35,81,98
2024,11,26,23,36,39,81,98
2024,11,26,23,36,43,84,98
2024,11,26,23,36,47,84,98
2024,11,26,23,36,51,82,98
2024,11,26,23,36,55,82,98
2024,11,26,23,36,59,82,98
2024,11,26,23,37,3,85,98
2024,11,26,23,37,7,85,98
2024,11,26,23,37,11,87,98
2024,11,26,23,37,15,86,98
2024,11,26,23,37,19,86,98
2024,11,26,23,37,23,86,98
2024,11,26,23,37,27,84,98
2024,11,26,23,37,31,82,98
2024,11,26,23,37,35,82,98
2024,11,26,23,37,39,79,98
2024,11,26,23,37,43,78,97
2024,11,26,23,37,47,80,96
2024,11,26,23,37,51,92,94
2024,11,26,23,37,55,94,92
2024,11,26,23,37,59,85,95
2024,11,26,23,38,3,80,98
2024,11,26,23,38,7,78,98
2024,11,26,23,38,11,82,98
2024,11,26,23,38,15,91,98
2024,11,26,23,38,19,87,98
2024,11,26,23,38,23,82,98
2024,11,26,23,38,27,78,98
2024,11,26,23,38,31,76,98
2024,11,26,23,38,35,80,98
2024,11,26,23,38,39,82,98
2024,11,26,23,38,43,83,97
2024,11,26,23,38,47,80,97
2024,11,26,23,38,51,79,97
2024,11,26,23,38,55,85,96
2024,11,26,23,38,59,89,96
2024,11,26,23,39,3,91,96
2024,11,26,23,39,7,84,98
2024,11,26,23,39,11,80,98
2024,11,26,23,39,15,78,98
2024,11,26,23,39,19,78,98
2024,11,26,23,39,23,77,98
2024,11,26,23,39,27,76,98
2024,11,26,23,39,31,74,98
2024,11,26,23,39,35,78,97
2024,11,26,23,39,39,78,97
2024,11,26,23,39,43,72,96
2024,11,26,23,39,47,69,97
2024,11,26,23,39,51,67,98
2024,11,26,23,39,55,73,98
2024,11,26,23,39,59,76,98
2024,11,26,23,40,3,81,95
2024,11,26,23,40,7,88,92
2024,11,26,23,40,11,94,93
2024,11,26,23,40,15,82,93
2024,11,26,23,40,19,75,96
2024,11,26,23,40,23,72,98
2024,11,26,23,40,27,73,99
2024,11,26,23,40,31,75,99
2024,11,26,23,40,35,79,98
2024,11,26,23,40,39,78,98
2024,11,26,23,40,43,78,98
2024,11,26,23,40,47,80,97
2024,11,26,23,40,51,83,97
2024,11,26,23,40,55,80,97
2024,11,26,23,40,59,80,98
2024,11,26,23,41,3,85,98
2024,11,26,23,41,7,84,97
2024,11,26,23,41,11,88,96
2024,11,26,23,41,15,82,96
2024,11,26,23,41,19,79,96
2024,11,26,23,41,23,80,98
2024,11,26,23,41,27,79,98
2024,11,26,23,41,31,82,97
2024,11,26,23,41,35,87,96
2024,11,26,23,41,39,89,95
2024,11,26,23,41,43,81,95
2024,11,26,23,41,47,75,96
2024,11,26,23,41,51,76,98
2024,11,26,23,41,55,75,98
2024,11,26,23,41,59,84,98
2024,11,26,23,42,3,87,98
2024,11,26,23,42,7,82,98
2024,11,26,23,42,11,80,98
2024,11,26,23,42,15,76,98
2024,11,26,23,42,19,75,98
2024,11,26,23,42,23,78,98
2024,11,26,23,42,27,77,98
2024,11,26,23,42,31,79,97
2024,11,26,23,42,35,80,97
2024,11,26,23,42,39,79,96
2024,11,26,23,42,43,86,95
2024,11,26,23,42,47,88,95
2024,11,26,23,42,51,82,95
2024,11,26,23,42,55,77,98
2024,11,26,23,42,59,77,98
2024,11,26,23,43,3,76,98
2024,11,26,23,43,7,78,97
2024,11,26,23,43,11,88,96
2024,11,26,23,43,15,91,97
2024,11,26,23,43,19,81,97
2024,11,26,23,43,23,77,98
2024,11,26,23,43,27,75,99
2024,11,26,23,43,31,81,98
2024,11,26,23,43,35,83,98
2024,11,26,23,43,39,82,97
2024,11,26,23,43,43,90,96
2024,11,26,23,43,47,91,95
2024,11,26,23,43,51,85,95
2024,11,26,23,43,55,78,98
2024,11,26,23,43,59,75,98
2024,11,26,23,44,3,74,99
2024,11,26,23,44,7,76,98
2024,11,26,23,44,11,80,98
2024,11,26,23,44,15,81,97
2024,11,26,23,44,19,78,96
2024,11,26,23,44,23,80,97
2024,11,26,23,44,27,87,97
2024,11,26,23,44,31,90,96
2024,11,26,23,44,35,76,96
2024,11,26,23,44,39,71,98
2024,11,26,23,44,43,82,98
2024,11,26,23,44,47,88,98
2024,11,26,23,44,51,82,98
2024,11,26,23,44,55,78,98
2024,11,26,23,44,59,74,98
2024,11,26,23,45,3,77,98
2024,11,26,23,45,7,83,96
2024,11,26,23,45,11,91,95
2024,11,26,23,45,15,97,93
2024,11,26,23,45,19,85,96
2024,11,26,23,45,23,81,98
2024,11,26,23,45,27,78,99
2024,11,26,23,45,31,77,99
2024,11,26,23,45,35,81,99
2024,11,26,23,45,39,75,99
2024,11,26,23,45,43,76,99
2024,11,26,23,45,47,73,99
2024,11,26,23,45,51,71,99
2024,11,26,23,45,55,75,98
2024,11,26,23,45,59,71,98
2024,11,26,23,46,3,66,98
2024,11,26,23,46,7,65,98
2024,11,26,23,46,11,72,98
2024,11,26,23,46,15,73,98
2024,11,26,23,46,19,76,97
2024,11,26,23,46,23,78,94
2024,11,26,23,46,27,80,94
2024,11,26,23,46,31,74,96
2024,11,26,23,46,35,71,97
2024,11,26,23,46,39,75,95
2024,11,26,23,46,43,83,93
2024,11,26,23,46,47,90,96
2024,11,26,23,46,51,92,96
2024,11,26,23,46,55,79,96
2024,11,26,23,46,59,75,98
2024,11,26,23,47,3,76,99
2024,11,26,23,47,7,73,99
2024,11,26,23,47,11,69,99
2024,11,26,23,47,15,65,98
2024,11,26,23,47,19,64,98
2024,11,26,23,47,23,65,98
2024,11,26,23,47,27,64,98
2024,11,26,23,47,31,72,98
2024,11,26,23,47,35,72,98
2024,11,26,23,47,39,68,98
2024,11,26,23,47,43,67,98
2024,11,26,23,47,47,68,98
2024,11,26,23,47,51,71,97
2024,11,26,23,47,55,74,96
2024,11,26,23,47,59,77,96
2024,11,26,23,48,3,74,96
2024,11,26,23,48,7,74,96
2024,11,26,23,48,11,80,95
2024,11,26,23,48,15,82,94
2024,11,26,23,48,19,72,93
2024,11,26,23,48,23,68,97
2024,11,26,23,48,27,64,98
2024,11,26,23,48,31,63,98
2024,11,26,23,48,35,65,98
2024,11,26,23,48,39,71,98
2024,11,26,23,48,43,74,97
2024,11,26,23,48,47,75,94
2024,11,26,23,48,51,82,91
2024,11,26,23,48,55,86,92
2024,11,26,23,48,59,86,89
2024,11,26,23,49,3,86,89
2024,11,26,23,49,7,87,96
2024,11,26,23,49,11,89,98
2024,11,26,23,49,15,89,99
2024,11,26,23,49,19,93,99
2024,11,26,23,49,23,88,98
2024,11,26,23,49,27,84,98
2024,11,26,23,49,31,84,98
2024,11,26,23,49,35,79,98
2024,11,26,23,49,39,78,99
2024,11,26,23,49,43,89,99
2024,11,26,23,49,47,85,98
2024,11,26,23,49,51,83,98
2024,11,26,23,49,55,82,98
2024,11,26,23,49,59,81,98
2024,11,26,23,50,3,79,98
2024,11,26,23,50,7,82,98
2024,11,26,23,50,11,82,99
2024,11,26,23,50,15,81,99
2024,11,26,23,50,19,80,98
2024,11,26,23,50,23,88,98
2024,11,26,23,50,27,91,98
2024,11,26,23,50,31,85,98
2024,11,26,23,50,35,81,98
2024,11,26,23,50,39,89,98
2024,11,26,23,50,43,83,98
2024,11,26,23,50,47,88,98
2024,11,26,23,50,51,92,98
2024,11,26,23,50,55,92,98
2024,11,26,23,50,59,92,98
2024,11,26,23,51,3,91,98
2024,11,26,23,51,7,87,98
2024,11,26,23,51,11,85,98
2024,11,26,23,51,15,84,98
2024,11,26,23,51,19,82,98
2024,11,26,23,51,23,83,98
2024,11,26,23,51,27,82,98
2024,11,26,23,51,31,83,98
2024,11,26,23,51,35,85,98
2024,11,26,23,51,39,84,98
2024,11,26,23,51,43,85,98
2024,11,26,23,51,47,85,98
2024,11,26,23,51,51,88,98
2024,11,26,23,51,55,86,98
2024,11,26,23,51,59,84,98
2024,11,26,23,52,3,85,98
2024,11,26,23,52,7,84,98
2024,11,26,23,52,11,86,98
2024,11,26,23,52,15,86,98
2024,11,26,23,52,19,87,98
2024,11,26,23,52,23,87,98
2024,11,26,23,52,27,86,98
2024,11,26,23,52,31,86,98
2024,11,26,23,52,35,87,98
2024,11,26,23,52,39,86,98
2024,11,26,23,52,43,84,98
2024,11,26,23,52,47,84,98
2024,11,26,23,52,51,83,98
2024,11,26,23,52,55,85,98
2024,11,26,23,52,59,83,98
2024,11,26,23,53,3,83,98
2024,11,26,23,53,7,84,98
2024,11,26,23,53,11,81,98
2024,11,26,23,53,15,82,98
2024,11,26,23,53,19,81,98
2024,11,26,23,53,23,79,98
2024,11,26,23,53,27,80,98
2024,11,26,23,53,31,79,97
2024,11,26,23,53,35,80,97
2024,11,26,23,53,39,80,97
2024,11,26,23,53,43,81,97
2024,11,26,23,53,47,80,97
2024,11,26,23,53,51,81,97
2024,11,26,23,53,55,78,97
2024,11,26,23,53,59,79,97
2024,11,26,23,54,3,79,97
2024,11,26,23,54,7,78,97
2024,11,26,23,54,11,77,97
2024,11,26,23,54,15,81,96
2024,11,26,23,54,19,83,96
2024,11,26,23,54,23,81,96
2024,11,26,23,54,27,76,97
2024,11,26,23,54,31,75,98
2024,11,26,23,54,35,78,98
2024,11,26,23,54,39,79,98
2024,11,26,23,54,43,79,98
2024,11,26,23,54,47,74,98
2024,11,26,23,54,51,75,98
2024,11,26,23,54,55,76,98
2024,11,26,23,54,59,79,97
2024,11,26,23,55,3,81,97
2024,11,26,23,55,7,81,96
2024,11,26,23,55,11,79,97
2024,11,26,23,55,15,79,97
2024,11,26,23,55,19,85,96
2024,11,26,23,55,23,81,96
2024,11,26,23,55,27,77,97
2024,11,26,23,55,31,78,98
2024,11,26,23,55,35,77,98
2024,11,26,23,55,39,81,97
2024,11,26,23,55,43,83,97
2024,11,26,23,55,47,79,97
2024,11,26,23,55,51,78,97
2024,11,26,23,55,55,90,96
2024,11,26,23,55,59,91,95
2024,11,26,23,56,3,81,95
2024,11,26,23,56,7,78,97
2024,11,26,23,56,11,78,98
2024,11,26,23,56,15,74,98
2024,11,26,23,56,19,73,98
2024,11,26,23,56,23,82,97
2024,11,26,23,56,27,83,96
2024,11,26,23,56,31,83,96
2024,11,26,23,56,35,81,97
2024,11,26,23,56,39,80,97
2024,11,26,23,56,43,84,97
2024,11,26,23,56,47,82,96
2024,11,26,23,56,51,86,97
2024,11,26,23,56,55,96,97
2024,11,26,23,56,59,98,96
2024,11,26,23,57,3,82,97
2024,11,26,23,57,7,73,98
2024,11,26,23,57,11,72,98
2024,11,26,23,57,15,78,98
2024,11,26,23,57,19,74,98
2024,11,26,23,57,23,74,98
2024,11,26,23,57,27,75,98
2024,11,26,23,57,31,72,98
2024,11,26,23,57,35,77,98
2024,11,26,23,57,39,75,98
2024,11,26,23,57,43,71,98
2024,11,26,23,57,47,73,98
2024,11,26,23,57,51,75,98
2024,11,26,23,57,55,82,97
2024,11,26,23,57,59,85,96
2024,11,26,23,58,3,78,96
2024,11,26,23,58,7,77,97
2024,11,26,23,58,11,76,97
2024,11,26,23,58,15,73,97
2024,11,26,23,58,19,75,97
2024,11,26,23,58,23,79,96
2024,11,26,23,58,27,81,96
2024,11,26,23,58,31,84,96
2024,11,26,23,58,35,90,95
2024,11,26,23,58,39,83,95
2024,11,26,23,58,43,77,95
2024,11,26,23,58,47,73,98
2024,11,26,23,58,51,75,98
2024,11,26,23,58,55,76,98
2024,11,26,23,58,59,74,98
2024,11,26,23,59,3,80,97
2024,11,26,23,59,7,82,95
2024,11,26,23,59,11,84,95
2024,11,26,23,59,15,81,96
2024,11,26,23,59,19,79,96
2024,11,26,23,59,23,87,96
2024,11,26,23,59,27,92,95
2024,11,26,23,59,31,84,95
2024,11,26,23,59,35,77,98
2024,11,26,23,59,39,73,98
2024,11,26,23,59,43,73,98
2024,11,26,23,59,47,77,98
2024,11,26,23,59,51,78,97
2024,11,26,23,59,55,77,97
2024,11,26,23,59,59,79,96
2024,11,27,0,0,3,80,97
2024,11,27,0,0,7,80,97
2024,11,27,0,0,11,80,95
2024,11,27,0,0,15,87,93
2024,11,27,0,0,19,95,89
2024,11,27,0,0,23,88,88
2024,11,27,0,0,27,75,95
2024,11,27,0,0,31,71,98
2024,11,27,0,0,35,70,98
2024,11,27,0,0,39,73,99
2024,11,27,0,0,43,74,99
2024,11,27,0,0,47,74,99
2024,11,27,0,0,51,77,98
2024,11,27,0,0,55,79,98
2024,11,27,0,0,59,78,97
2024,11,27,0,1,3,79,97
2024,11,27,0,1,7,80,97
2024,11,27,0,1,11,81,97
2024,11,27,0,1,15,80,96
2024,11,27,0,1,19,80,95
