year,month,day,hour,minute,second,pulse,spo2
2025,1,31,15,19,0,500,500
2025,1,31,15,19,4,500,500
2025,1,31,15,19,8,106,98
2025,1,31,15,19,12,104,98
2025,1,31,15,19,16,104,98
2025,1,31,15,19,20,102,99
2025,1,31,15,19,24,102,99
2025,1,31,15,19,28,105,98
2025,1,31,15,19,32,107,98
2025,1,31,15,19,36,108,99
2025,1,31,15,19,40,107,98
2025,1,31,15,19,44,106,98
2025,1,31,15,19,48,104,98
2025,1,31,15,19,52,108,98
2025,1,31,15,19,56,104,98
2025,1,31,15,20,0,109,98
2025,1,31,15,20,4,110,98
2025,1,31,15,20,8,110,98
2025,1,31,15,20,12,108,99
2025,1,31,15,20,16,105,98
2025,1,31,15,20,20,104,98
2025,1,31,15,20,24,101,98
2025,1,31,15,20,28,100,98
2025,1,31,15,20,32,98,98
2025,1,31,15,20,36,100,98
2025,1,31,15,20,40,99,98
2025,1,31,15,20,44,101,98
2025,1,31,15,20,48,101,98
2025,1,31,15,20,52,105,98
2025,1,31,15,20,56,104,98
2025,1,31,15,21,0,106,98
2025,1,31,15,21,4,107,98
2025,1,31,15,21,8,105,98
2025,1,31,15,21,12,106,98
2025,1,31,15,21,16,101,98
2025,1,31,15,21,20,106,98
2025,1,31,15,21,24,106,98
2025,1,31,15,21,28,105,98
2025,1,31,15,21,32,106,98
2025,1,31,15,21,36,105,98
2025,1,31,15,21,40,105,98
2025,1,31,15,21,44,105,98
2025,1,31,15,21,48,107,98
2025,1,31,15,21,52,104,98
2025,1,31,15,21,56,104,98
2025,1,31,15,22,0,103,98
2025,1,31,15,22,4,102,98
2025,1,31,15,22,8,108,98
2025,1,31,15,22,12,107,98
2025,1,31,15,22,16,116,98
2025,1,31,15,22,20,119,98
2025,1,31,15,22,24,108,98
2025,1,31,15,22,28,102,99
2025,1,31,15,22,32,101,99
2025,1,31,15,22,36,100,99
2025,1,31,15,22,40,100,99
2025,1,31,15,22,44,103,99
2025,1,31,15,22,48,102,99
2025,1,31,15,22,52,104,99
2025,1,31,15,22,56,102,99
2025,1,31,15,23,0,100,99
2025,1,31,15,23,4,97,99
2025,1,31,15,23,8,100,99
2025,1,31,15,23,12,103,98
2025,1,31,15,23,16,102,98
2025,1,31,15,23,20,110,99
2025,1,31,15,23,24,109,98
2025,1,31,15,23,28,99,98
2025,1,31,15,23,32,97,98
2025,1,31,15,23,36,101,98
2025,1,31,15,23,40,101,98
