year,month,day,hour,minute,second,pulse,spo2
2024,8,16,14,26,44,500,500
2024,8,16,14,26,48,500,500
2024,8,16,14,26,52,78,100
2024,8,16,14,26,56,79,100
2024,8,16,14,27,0,78,99
2024,8,16,14,27,4,78,99
2024,8,16,14,27,8,80,99
2024,8,16,14,27,12,83,99
2024,8,16,14,27,16,83,99
2024,8,16,14,27,20,82,99
2024,8,16,14,27,24,81,99
2024,8,16,14,27,28,79,99
2024,8,16,14,27,32,80,99
2024,8,16,14,27,36,78,99
2024,8,16,14,27,40,78,99
2024,8,16,14,27,44,79,99
2024,8,16,14,27,48,80,99
2024,8,16,14,27,52,86,99
2024,8,16,14,27,56,85,99
2024,8,16,14,28,0,86,99
2024,8,16,14,28,4,85,99
2024,8,16,14,28,8,85,99
2024,8,16,14,28,12,84,99
2024,8,16,14,28,16,83,99
2024,8,16,14,28,20,80,99
2024,8,16,14,28,24,80,99
2024,8,16,14,28,28,91,99
2024,8,16,14,28,32,95,99
2024,8,16,14,28,36,100,99
2024,8,16,14,28,40,92,99
2024,8,16,14,28,44,86,100
2024,8,16,14,28,48,76,99
2024,8,16,14,28,52,75,99
2024,8,16,14,28,56,77,99
2024,8,16,14,29,0,83,99
2024,8,16,14,29,4,83,99
2024,8,16,14,29,8,83,99
2024,8,16,14,29,12,89,99
2024,8,16,14,29,16,76,99
2024,8,16,14,29,20,74,99
2024,8,16,14,29,24,73,99
2024,8,16,14,29,28,72,99
2024,8,16,14,29,32,72,99
2024,8,16,14,29,36,83,99
2024,8,16,14,29,40,95,99
2024,8,16,14,29,44,106,98
2024,8,16,14,29,48,103,98
2024,8,16,14,29,52,97,99
2024,8,16,14,29,56,87,99
2024,8,16,14,30,0,85,99
2024,8,16,14,30,4,82,98
2024,8,16,14,30,8,79,99
2024,8,16,14,30,12,81,99
2024,8,16,14,30,16,80,99
2024,8,16,14,30,20,76,99
2024,8,16,14,30,24,80,99
2024,8,16,14,30,28,80,100
2024,8,16,14,30,32,78,100
2024,8,16,14,30,36,79,99
2024,8,16,14,30,40,71,99
2024,8,16,14,30,44,68,99
2024,8,16,14,30,48,79,99
2024,8,16,14,30,52,80,99
2024,8,16,14,30,56,80,99
2024,8,16,14,31,0,77,100
2024,8,16,14,31,4,77,99
2024,8,16,14,31,8,78,99
2024,8,16,14,31,12,76,99
2024,8,16,14,31,16,86,99
2024,8,16,14,31,20,79,99
2024,8,16,14,31,24,74,99
2024,8,16,14,31,28,74,99
2024,8,16,14,31,32,74,99
2024,8,16,14,31,36,76,99
2024,8,16,14,31,40,80,98
2024,8,16,14,31,44,79,98
2024,8,16,14,31,48,80,99
2024,8,16,14,31,52,80,99
2024,8,16,14,31,56,80,99
2024,8,16,14,32,0,85,99
2024,8,16,14,32,4,86,99
2024,8,16,14,32,8,82,99
2024,8,16,14,32,12,77,99
2024,8,16,14,32,16,77,99
2024,8,16,14,32,20,78,99
2024,8,16,14,32,24,79,99
2024,8,16,14,32,28,78,99
2024,8,16,14,32,32,80,99
2024,8,16,14,32,36,77,99
2024,8,16,14,32,40,77,99
2024,8,16,14,32,44,78,99
2024,8,16,14,32,48,76,99
2024,8,16,14,32,52,75,98
2024,8,16,14,32,56,81,98
2024,8,16,14,33,0,83,98
2024,8,16,14,33,4,81,98
2024,8,16,14,33,8,86,99
2024,8,16,14,33,12,85,98
2024,8,16,14,33,16,78,99
2024,8,16,14,33,20,80,99
2024,8,16,14,33,24,81,98
2024,8,16,14,33,28,81,99
2024,8,16,14,33,32,80,99
2024,8,16,14,33,36,83,99
2024,8,16,14,33,40,84,99
2024,8,16,14,33,44,82,99
2024,8,16,14,33,48,95,99
2024,8,16,14,33,52,104,99
2024,8,16,14,33,56,95,99
2024,8,16,14,34,0,90,99
2024,8,16,14,34,4,89,99
2024,8,16,14,34,8,92,99
2024,8,16,14,34,12,85,99
2024,8,16,14,34,16,85,99
2024,8,16,14,34,20,94,99
2024,8,16,14,34,24,99,98
2024,8,16,14,34,28,93,99
2024,8,16,14,34,32,84,99
2024,8,16,14,34,36,82,99
2024,8,16,14,34,40,80,99
2024,8,16,14,34,44,80,99
2024,8,16,14,34,48,88,99
2024,8,16,14,34,52,90,99
2024,8,16,14,34,56,80,99
2024,8,16,14,35,0,84,99
2024,8,16,14,35,4,86,99
2024,8,16,14,35,8,88,99
2024,8,16,14,35,12,89,99
2024,8,16,14,35,16,77,100
2024,8,16,14,35,20,76,99
2024,8,16,14,35,24,78,99
2024,8,16,14,35,28,78,99
2024,8,16,14,35,32,81,99
2024,8,16,14,35,36,80,99
2024,8,16,14,35,40,79,99
2024,8,16,14,35,44,80,99
2024,8,16,14,35,48,80,99
2024,8,16,14,35,52,80,99
2024,8,16,14,35,56,79,99
2024,8,16,14,36,0,77,99
2024,8,16,14,36,4,78,99
2024,8,16,14,36,8,78,99
2024,8,16,14,36,12,80,99
2024,8,16,14,36,16,79,99
2024,8,16,14,36,20,84,99
2024,8,16,14,36,24,79,99
2024,8,16,14,36,28,79,99
2024,8,16,14,36,32,80,98
2024,8,16,14,36,36,80,98
2024,8,16,14,36,40,78,99
2024,8,16,14,36,44,77,99
2024,8,16,14,36,48,78,99
2024,8,16,14,36,52,80,99
2024,8,16,14,36,56,80,99
2024,8,16,14,37,0,77,99
2024,8,16,14,37,4,75,99
2024,8,16,14,37,8,77,99
2024,8,16,14,37,12,81,98
2024,8,16,14,37,16,90,98
2024,8,16,14,37,20,84,99
2024,8,16,14,37,24,82,99
2024,8,16,14,37,28,79,99
2024,8,16,14,37,32,80,98
2024,8,16,14,37,36,81,98
2024,8,16,14,37,40,80,98
2024,8,16,14,37,44,77,99
2024,8,16,14,37,48,85,99
2024,8,16,14,37,52,91,99
2024,8,16,14,37,56,92,98
2024,8,16,14,38,0,94,99
2024,8,16,14,38,4,94,99
2024,8,16,14,38,8,101,99
2024,8,16,14,38,12,101,99
2024,8,16,14,38,16,106,98
2024,8,16,14,38,20,90,98
2024,8,16,14,38,24,87,98
2024,8,16,14,38,28,88,99
2024,8,16,14,38,32,91,99
2024,8,16,14,38,36,92,98
2024,8,16,14,38,40,98,98
2024,8,16,14,38,44,104,98
2024,8,16,14,38,48,86,98
2024,8,16,14,38,52,82,99
2024,8,16,14,38,56,84,99
2024,8,16,14,39,0,83,99
2024,8,16,14,39,4,73,99
2024,8,16,14,39,8,76,99
2024,8,16,14,39,12,77,99
2024,8,16,14,39,16,75,99
2024,8,16,14,39,20,88,99
2024,8,16,14,39,24,91,99
2024,8,16,14,39,28,78,99
2024,8,16,14,39,32,76,99
2024,8,16,14,39,36,77,99
2024,8,16,14,39,40,74,99
2024,8,16,14,39,44,73,99
2024,8,16,14,39,48,73,98
2024,8,16,14,39,52,75,98
2024,8,16,14,39,56,76,98
2024,8,16,14,40,0,79,98
2024,8,16,14,40,4,83,98
2024,8,16,14,40,8,77,98
2024,8,16,14,40,12,83,99
2024,8,16,14,40,16,85,99
2024,8,16,14,40,20,86,99
2024,8,16,14,40,24,79,99
2024,8,16,14,40,28,79,99
2024,8,16,14,40,32,82,99
2024,8,16,14,40,36,82,99
2024,8,16,14,40,40,81,99
2024,8,16,14,40,44,82,99
2024,8,16,14,40,48,84,99
2024,8,16,14,40,52,86,99
2024,8,16,14,40,56,85,99
2024,8,16,14,41,0,83,98
2024,8,16,14,41,4,76,98
2024,8,16,14,41,8,74,99
2024,8,16,14,41,12,75,99
2024,8,16,14,41,16,82,98
2024,8,16,14,41,20,83,98
2024,8,16,14,41,24,77,98
2024,8,16,14,41,28,80,98
2024,8,16,14,41,32,79,98
2024,8,16,14,41,36,77,98
2024,8,16,14,41,40,80,98
2024,8,16,14,41,44,78,98
