year,month,day,hour,minute,second,pulse,spo2
2024,10,22,5,22,55,500,500
2024,10,22,5,22,59,500,500
2024,10,22,5,23,3,500,500
2024,10,22,5,23,7,500,500
2024,10,22,5,23,11,500,500
2024,10,22,5,23,15,500,500
2024,10,22,5,23,19,500,500
2024,10,22,5,23,23,500,500
2024,10,22,5,23,27,500,500
2024,10,22,5,23,31,500,500
2024,10,22,5,23,35,500,500
2024,10,22,5,23,39,500,500
2024,10,22,5,23,43,500,500
2024,10,22,5,23,47,101,96
2024,10,22,5,23,51,91,98
2024,10,22,5,23,55,90,98
2024,10,22,5,23,59,94,98
2024,10,22,5,24,3,96,99
2024,10,22,5,24,7,94,99
2024,10,22,5,24,11,94,98
2024,10,22,5,24,15,93,99
2024,10,22,5,24,19,93,99
2024,10,22,5,24,23,91,99
2024,10,22,5,24,27,89,99
2024,10,22,5,24,31,85,98
2024,10,22,5,24,35,85,98
2024,10,22,5,24,39,89,98
2024,10,22,5,24,43,85,98
2024,10,22,5,24,47,84,98
2024,10,22,5,24,51,83,98
2024,10,22,5,24,55,89,98
2024,10,22,5,24,59,87,98
2024,10,22,5,25,3,87,97
2024,10,22,5,25,7,90,98
2024,10,22,5,25,11,87,98
2024,10,22,5,25,15,90,99
2024,10,22,5,25,19,86,99
2024,10,22,5,25,23,86,98
2024,10,22,5,25,27,91,98
2024,10,22,5,25,31,88,98
2024,10,22,5,25,35,89,98
2024,10,22,5,25,39,87,98
2024,10,22,5,25,43,88,98
2024,10,22,5,25,47,91,98
2024,10,22,5,25,51,93,97
2024,10,22,5,25,55,87,97
2024,10,22,5,25,59,87,97
2024,10,22,5,26,3,87,98
2024,10,22,5,26,7,89,98
2024,10,22,5,26,11,89,98
2024,10,22,5,26,15,85,98
2024,10,22,5,26,19,80,98
2024,10,22,5,26,23,90,97
2024,10,22,5,26,27,102,97
2024,10,22,5,26,31,91,97
2024,10,22,5,26,35,89,96
2024,10,22,5,26,39,89,94
2024,10,22,5,26,43,89,94
2024,10,22,5,26,47,91,98
2024,10,22,5,26,51,82,98
2024,10,22,5,26,55,81,98
2024,10,22,5,26,59,84,98
2024,10,22,5,27,3,91,98
2024,10,22,5,27,7,89,98
2024,10,22,5,27,11,90,98
2024,10,22,5,27,15,85,98
2024,10,22,5,27,19,85,98
2024,10,22,5,27,23,85,97
2024,10,22,5,27,27,87,96
2024,10,22,5,27,31,88,96
2024,10,22,5,27,35,88,96
2024,10,22,5,27,39,86,96
2024,10,22,5,27,43,89,96
2024,10,22,5,27,47,92,95
2024,10,22,5,27,51,88,95
2024,10,22,5,27,55,89,95
2024,10,22,5,27,59,89,96
2024,10,22,5,28,3,89,96
2024,10,22,5,28,7,86,96
2024,10,22,5,28,11,87,96
2024,10,22,5,28,15,85,96
2024,10,22,5,28,19,88,97
2024,10,22,5,28,23,91,96
2024,10,22,5,28,27,90,97
2024,10,22,5,28,31,88,97
2024,10,22,5,28,35,89,97
2024,10,22,5,28,39,91,97
2024,10,22,5,28,43,86,97
2024,10,22,5,28,47,86,98
2024,10,22,5,28,51,86,98
2024,10,22,5,28,55,81,97
2024,10,22,5,28,59,85,97
2024,10,22,5,29,3,83,97
2024,10,22,5,29,7,85,97
2024,10,22,5,29,11,85,97
2024,10,22,5,29,15,82,97
2024,10,22,5,29,19,86,98
2024,10,22,5,29,23,82,97
2024,10,22,5,29,27,86,97
2024,10,22,5,29,31,87,97
2024,10,22,5,29,35,85,97
2024,10,22,5,29,39,87,97
2024,10,22,5,29,43,86,97
2024,10,22,5,29,47,89,97
2024,10,22,5,29,51,91,97
2024,10,22,5,29,55,87,97
2024,10,22,5,29,59,89,97
2024,10,22,5,30,3,83,97
2024,10,22,5,30,7,84,98
2024,10,22,5,30,11,87,97
2024,10,22,5,30,15,87,96
2024,10,22,5,30,19,86,97
2024,10,22,5,30,23,86,97
2024,10,22,5,30,27,87,97
2024,10,22,5,30,31,88,97
2024,10,22,5,30,35,92,97
2024,10,22,5,30,39,86,98
2024,10,22,5,30,43,84,98
2024,10,22,5,30,47,83,98
2024,10,22,5,30,51,89,98
2024,10,22,5,30,55,92,97
2024,10,22,5,30,59,87,97
2024,10,22,5,31,3,85,97
2024,10,22,5,31,7,84,98
2024,10,22,5,31,11,87,98
2024,10,22,5,31,15,85,97
2024,10,22,5,31,19,84,97
2024,10,22,5,31,23,90,97
2024,10,22,5,31,27,92,98
2024,10,22,5,31,31,90,98
2024,10,22,5,31,35,81,98
2024,10,22,5,31,39,83,98
2024,10,22,5,31,43,80,98
2024,10,22,5,31,47,82,98
2024,10,22,5,31,51,82,98
2024,10,22,5,31,55,84,97
2024,10,22,5,31,59,82,97
2024,10,22,5,32,3,82,97
2024,10,22,5,32,7,84,97
2024,10,22,5,32,11,87,97
2024,10,22,5,32,15,91,97
2024,10,22,5,32,19,83,97
2024,10,22,5,32,23,81,97
2024,10,22,5,32,27,82,97
2024,10,22,5,32,31,83,97
2024,10,22,5,32,35,80,97
2024,10,22,5,32,39,88,97
2024,10,22,5,32,43,91,96
2024,10,22,5,32,47,89,96
2024,10,22,5,32,51,87,96
2024,10,22,5,32,55,85,96
2024,10,22,5,32,59,82,97
2024,10,22,5,33,3,85,97
2024,10,22,5,33,7,82,97
2024,10,22,5,33,11,83,97
2024,10,22,5,33,15,80,97
2024,10,22,5,33,19,82,98
2024,10,22,5,33,23,85,98
2024,10,22,5,33,27,82,97
2024,10,22,5,33,31,82,97
2024,10,22,5,33,35,86,98
2024,10,22,5,33,39,77,98
2024,10,22,5,33,43,83,97
2024,10,22,5,33,47,83,97
2024,10,22,5,33,51,83,97
2024,10,22,5,33,55,83,97
2024,10,22,5,33,59,85,96
2024,10,22,5,34,3,89,96
2024,10,22,5,34,7,89,96
2024,10,22,5,34,11,89,94
2024,10,22,5,34,15,89,91
2024,10,22,5,34,19,89,91
2024,10,22,5,34,23,85,89
2024,10,22,5,34,27,79,89
2024,10,22,5,34,31,79,89
2024,10,22,5,34,35,79,89
2024,10,22,5,34,39,79,89
2024,10,22,5,34,43,500,500
2024,10,22,5,34,47,94,94
2024,10,22,5,34,51,108,94
2024,10,22,5,34,55,113,96
2024,10,22,5,34,59,115,96
