year,month,day,hour,minute,second,pulse,spo2
2024,9,19,3,41,26,500,500
2024,9,19,3,41,30,500,500
2024,9,19,3,41,34,500,500
2024,9,19,3,41,38,500,500
2024,9,19,3,41,42,500,500
2024,9,19,3,41,46,500,500
2024,9,19,3,41,50,500,500
2024,9,19,3,41,54,500,500
2024,9,19,3,41,58,500,500
2024,9,19,3,42,2,500,500
2024,9,19,3,42,6,500,500
2024,9,19,3,42,10,500,500
2024,9,19,3,42,14,108,91
2024,9,19,3,42,18,108,94
2024,9,19,3,42,22,109,93
2024,9,19,3,42,26,108,94
2024,9,19,3,42,30,102,94
2024,9,19,3,42,34,105,94
2024,9,19,3,42,38,101,96
2024,9,19,3,42,42,101,96
2024,9,19,3,42,46,101,95
2024,9,19,3,42,50,105,95
2024,9,19,3,42,54,104,95
2024,9,19,3,42,58,104,95
2024,9,19,3,43,2,104,95
2024,9,19,3,43,6,106,93
2024,9,19,3,43,10,107,93
2024,9,19,3,43,14,105,94
2024,9,19,3,43,18,109,96
2024,9,19,3,43,22,110,95
2024,9,19,3,43,26,110,95
2024,9,19,3,43,30,104,96
2024,9,19,3,43,34,103,95
2024,9,19,3,43,38,101,95
2024,9,19,3,43,42,101,94
2024,9,19,3,43,46,100,94
2024,9,19,3,43,50,100,94
2024,9,19,3,43,54,98,95
2024,9,19,3,43,58,102,98
2024,9,19,3,44,2,102,98
2024,9,19,3,44,6,102,97
2024,9,19,3,44,10,103,97
2024,9,19,3,44,14,103,97
2024,9,19,3,44,18,98,96
2024,9,19,3,44,22,98,97
2024,9,19,3,44,26,96,95
2024,9,19,3,44,30,99,95
2024,9,19,3,44,34,101,94
2024,9,19,3,44,38,100,94
2024,9,19,3,44,42,102,93
2024,9,19,3,44,46,102,93
2024,9,19,3,44,50,102,93
2024,9,19,3,44,54,104,93
2024,9,19,3,44,58,108,93
2024,9,19,3,45,2,109,95
2024,9,19,3,45,6,109,95
2024,9,19,3,45,10,109,95
2024,9,19,3,45,14,110,94
2024,9,19,3,45,18,110,94
2024,9,19,3,45,22,112,94
2024,9,19,3,45,26,102,95
2024,9,19,3,45,30,104,95
2024,9,19,3,45,34,103,95
2024,9,19,3,45,38,104,95
2024,9,19,3,45,42,101,95
2024,9,19,3,45,46,105,95
2024,9,19,3,45,50,100,95
2024,9,19,3,45,54,99,95
2024,9,19,3,45,58,101,95
2024,9,19,3,46,2,102,95
2024,9,19,3,46,6,100,95
2024,9,19,3,46,10,100,94
2024,9,19,3,46,14,100,95
2024,9,19,3,46,18,104,95
2024,9,19,3,46,22,107,96
2024,9,19,3,46,26,104,96
