year,month,day,hour,minute,second,pulse,spo2
2024,11,26,20,57,49,500,500
2024,11,26,20,57,53,500,500
2024,11,26,20,57,57,93,97
2024,11,26,20,58,1,98,98
2024,11,26,20,58,5,97,98
2024,11,26,20,58,9,97,98
2024,11,26,20,58,13,97,98
2024,11,26,20,58,17,97,98
2024,11,26,20,58,21,95,98
2024,11,26,20,58,25,95,98
2024,11,26,20,58,29,97,98
2024,11,26,20,58,33,98,98
2024,11,26,20,58,37,93,98
2024,11,26,20,58,41,93,98
2024,11,26,20,58,45,97,98
2024,11,26,20,58,49,99,98
2024,11,26,20,58,53,96,98
2024,11,26,20,58,57,94,98
2024,11,26,20,59,1,93,98
2024,11,26,20,59,5,93,98
2024,11,26,20,59,9,93,98
2024,11,26,20,59,13,94,98
2024,11,26,20,59,17,94,98
2024,11,26,20,59,21,94,97
2024,11,26,20,59,25,100,97
2024,11,26,20,59,29,99,98
2024,11,26,20,59,33,97,98
2024,11,26,20,59,37,96,98
2024,11,26,20,59,41,102,98
2024,11,26,20,59,45,98,98
2024,11,26,20,59,49,96,98
2024,11,26,20,59,53,103,98
2024,11,26,20,59,57,92,98
2024,11,26,21,0,1,86,98
2024,11,26,21,0,5,86,98
2024,11,26,21,0,9,85,98
2024,11,26,21,0,13,90,98
2024,11,26,21,0,17,91,98
2024,11,26,21,0,21,91,98
2024,11,26,21,0,25,91,98
2024,11,26,21,0,29,96,98
2024,11,26,21,0,33,98,98
2024,11,26,21,0,37,98,98
2024,11,26,21,0,41,95,98
2024,11,26,21,0,45,95,97
2024,11,26,21,0,49,96,98
2024,11,26,21,0,53,96,98
2024,11,26,21,0,57,96,98
2024,11,26,21,1,1,97,98
2024,11,26,21,1,5,95,98
2024,11,26,21,1,9,94,98
2024,11,26,21,1,13,96,98
2024,11,26,21,1,17,92,98
2024,11,26,21,1,21,92,98
2024,11,26,21,1,25,94,98
2024,11,26,21,1,29,93,98
2024,11,26,21,1,33,89,98
2024,11,26,21,1,37,90,98
2024,11,26,21,1,41,96,98
2024,11,26,21,1,45,102,98
2024,11,26,21,1,49,96,97
2024,11,26,21,1,53,96,98
2024,11,26,21,1,57,97,98
2024,11,26,21,2,1,92,98
2024,11,26,21,2,5,88,98
2024,11,26,21,2,9,89,98
2024,11,26,21,2,13,89,99
2024,11,26,21,2,17,91,98
2024,11,26,21,2,21,93,98
2024,11,26,21,2,25,93,98
2024,11,26,21,2,29,101,97
2024,11,26,21,2,33,103,97
2024,11,26,21,2,37,99,98
2024,11,26,21,2,41,100,98
2024,11,26,21,2,45,97,98
2024,11,26,21,2,49,94,98
2024,11,26,21,2,53,95,98
2024,11,26,21,2,57,97,98
2024,11,26,21,3,1,96,98
2024,11,26,21,3,5,89,98
2024,11,26,21,3,9,88,98
2024,11,26,21,3,13,94,98
2024,11,26,21,3,17,100,98
2024,11,26,21,3,21,99,98
2024,11,26,21,3,25,96,98
2024,11,26,21,3,29,99,98
2024,11,26,21,3,33,98,98
2024,11,26,21,3,37,97,98
2024,11,26,21,3,41,97,98
2024,11,26,21,3,45,102,98
2024,11,26,21,3,49,104,98
2024,11,26,21,3,53,97,98
2024,11,26,21,3,57,93,98
2024,11,26,21,4,1,91,98
2024,11,26,21,4,5,90,98
2024,11,26,21,4,9,90,98
2024,11,26,21,4,13,90,98
2024,11,26,21,4,17,91,98
2024,11,26,21,4,21,94,98
2024,11,26,21,4,25,96,98
2024,11,26,21,4,29,98,98
2024,11,26,21,4,33,96,98
2024,11,26,21,4,37,95,98
2024,11,26,21,4,41,100,98
2024,11,26,21,4,45,103,98
2024,11,26,21,4,49,96,98
2024,11,26,21,4,53,94,98
2024,11,26,21,4,57,102,98
2024,11,26,21,5,1,100,98
2024,11,26,21,5,5,100,98
2024,11,26,21,5,9,104,97
2024,11,26,21,5,13,97,98
2024,11,26,21,5,17,94,98
2024,11,26,21,5,21,93,98
2024,11,26,21,5,25,96,98
2024,11,26,21,5,29,94,98
2024,11,26,21,5,33,93,98
2024,11,26,21,5,37,93,98
2024,11,26,21,5,41,98,97
2024,11,26,21,5,45,97,97
2024,11,26,21,5,49,94,97
2024,11,26,21,5,53,94,97
2024,11,26,21,5,57,94,98
2024,11,26,21,6,1,92,98
2024,11,26,21,6,5,92,98
2024,11,26,21,6,9,97,98
2024,11,26,21,6,13,96,98
2024,11,26,21,6,17,94,98
2024,11,26,21,6,21,96,98
2024,11,26,21,6,25,98,98
2024,11,26,21,6,29,97,98
2024,11,26,21,6,33,95,98
2024,11,26,21,6,37,94,98
2024,11,26,21,6,41,98,98
2024,11,26,21,6,45,99,98
2024,11,26,21,6,49,97,98
2024,11,26,21,6,53,97,98
2024,11,26,21,6,57,97,98
2024,11,26,21,7,1,98,98
2024,11,26,21,7,5,98,98
2024,11,26,21,7,9,98,98
2024,11,26,21,7,13,99,98
2024,11,26,21,7,17,104,98
2024,11,26,21,7,21,100,98
2024,11,26,21,7,25,97,98
2024,11,26,21,7,29,96,97
2024,11,26,21,7,33,101,97
2024,11,26,21,7,37,103,98
2024,11,26,21,7,41,100,98
2024,11,26,21,7,45,100,98
2024,11,26,21,7,49,99,98
2024,11,26,21,7,53,97,98
2024,11,26,21,7,57,97,98
2024,11,26,21,8,1,98,98
2024,11,26,21,8,5,96,98
2024,11,26,21,8,9,95,98
2024,11,26,21,8,13,97,98
2024,11,26,21,8,17,98,98
2024,11,26,21,8,21,102,98
2024,11,26,21,8,25,103,98
2024,11,26,21,8,29,99,98
2024,11,26,21,8,33,95,98
2024,11,26,21,8,37,95,98
2024,11,26,21,8,41,97,98
2024,11,26,21,8,45,91,98
2024,11,26,21,8,49,91,98
2024,11,26,21,8,53,90,98
2024,11,26,21,8,57,88,98
2024,11,26,21,9,1,87,98
2024,11,26,21,9,5,87,98
2024,11,26,21,9,9,94,98
2024,11,26,21,9,13,94,98
2024,11,26,21,9,17,94,98
2024,11,26,21,9,21,95,98
2024,11,26,21,9,25,95,98
2024,11,26,21,9,29,96,98
2024,11,26,21,9,33,96,98
2024,11,26,21,9,37,96,98
2024,11,26,21,9,41,97,98
2024,11,26,21,9,45,96,98
2024,11,26,21,9,49,96,98
2024,11,26,21,9,53,102,98
2024,11,26,21,9,57,104,98
2024,11,26,21,10,1,96,98
2024,11,26,21,10,5,94,98
2024,11,26,21,10,9,96,98
2024,11,26,21,10,13,95,98
2024,11,26,21,10,17,96,98
2024,11,26,21,10,21,95,98
2024,11,26,21,10,25,93,98
2024,11,26,21,10,29,94,98
2024,11,26,21,10,33,94,98
2024,11,26,21,10,37,94,98
2024,11,26,21,10,41,100,98
2024,11,26,21,10,45,102,98
2024,11,26,21,10,49,96,98
2024,11,26,21,10,53,94,98
2024,11,26,21,10,57,96,98
2024,11,26,21,11,1,97,98
2024,11,26,21,11,5,94,98
2024,11,26,21,11,9,95,98
2024,11,26,21,11,13,92,98
2024,11,26,21,11,17,92,98
2024,11,26,21,11,21,96,98
2024,11,26,21,11,25,97,98
2024,11,26,21,11,29,96,98
2024,11,26,21,11,33,95,98
2024,11,26,21,11,37,97,98
2024,11,26,21,11,41,105,98
2024,11,26,21,11,45,97,98
2024,11,26,21,11,49,91,98
2024,11,26,21,11,53,92,98
2024,11,26,21,11,57,95,98
2024,11,26,21,12,1,94,97
2024,11,26,21,12,5,96,97
2024,11,26,21,12,9,95,98
2024,11,26,21,12,13,94,98
2024,11,26,21,12,17,92,98
2024,11,26,21,12,21,94,98
2024,11,26,21,12,25,92,98
2024,11,26,21,12,29,92,98
2024,11,26,21,12,33,92,98
2024,11,26,21,12,37,95,98
2024,11,26,21,12,41,93,97
2024,11,26,21,12,45,93,97
2024,11,26,21,12,49,96,98
2024,11,26,21,12,53,93,98
2024,11,26,21,12,57,95,98
2024,11,26,21,13,1,100,98
2024,11,26,21,13,5,99,98
2024,11,26,21,13,9,99,98
2024,11,26,21,13,13,99,98
2024,11,26,21,13,17,100,98
2024,11,26,21,13,21,99,98
2024,11,26,21,13,25,98,98
2024,11,26,21,13,29,96,98
2024,11,26,21,13,33,99,98
2024,11,26,21,13,37,98,98
2024,11,26,21,13,41,97,98
2024,11,26,21,13,45,97,98
2024,11,26,21,13,49,96,98
2024,11,26,21,13,53,96,98
2024,11,26,21,13,57,96,98
2024,11,26,21,14,1,97,98
2024,11,26,21,14,5,96,98
2024,11,26,21,14,9,96,98
2024,11,26,21,14,13,96,98
2024,11,26,21,14,17,96,98
2024,11,26,21,14,21,100,98
2024,11,26,21,14,25,101,98
2024,11,26,21,14,29,98,98
2024,11,26,21,14,33,94,98
2024,11,26,21,14,37,91,98
2024,11,26,21,14,41,91,99
2024,11,26,21,14,45,97,97
2024,11,26,21,14,49,94,97
2024,11,26,21,14,53,96,98
2024,11,26,21,14,57,97,98
2024,11,26,21,15,1,95,98
2024,11,26,21,15,5,94,98
2024,11,26,21,15,9,94,98
2024,11,26,21,15,13,94,98
2024,11,26,21,15,17,92,98
2024,11,26,21,15,21,92,98
2024,11,26,21,15,25,89,98
2024,11,26,21,15,29,87,98
2024,11,26,21,15,33,91,98
2024,11,26,21,15,37,94,98
2024,11,26,21,15,41,94,98
2024,11,26,21,15,45,95,98
2024,11,26,21,15,49,93,98
2024,11,26,21,15,53,93,98
2024,11,26,21,15,57,95,98
2024,11,26,21,16,1,94,98
2024,11,26,21,16,5,97,98
2024,11,26,21,16,9,99,98
2024,11,26,21,16,13,97,98
2024,11,26,21,16,17,92,98
2024,11,26,21,16,21,91,98
2024,11,26,21,16,25,89,98
2024,11,26,21,16,29,87,98
2024,11,26,21,16,33,87,98
2024,11,26,21,16,37,90,98
2024,11,26,21,16,41,89,98
2024,11,26,21,16,45,91,98
2024,11,26,21,16,49,95,98
2024,11,26,21,16,53,95,98
2024,11,26,21,16,57,97,98
2024,11,26,21,17,1,93,98
2024,11,26,21,17,5,90,98
2024,11,26,21,17,9,89,98
2024,11,26,21,17,13,88,98
2024,11,26,21,17,17,88,98
2024,11,26,21,17,21,96,98
2024,11,26,21,17,25,101,98
2024,11,26,21,17,29,97,98
2024,11,26,21,17,33,96,98
2024,11,26,21,17,37,97,98
2024,11,26,21,17,41,92,98
2024,11,26,21,17,45,91,98
2024,11,26,21,17,49,90,98
2024,11,26,21,17,53,88,98
2024,11,26,21,17,57,89,98
2024,11,26,21,18,1,86,98
2024,11,26,21,18,5,90,98
2024,11,26,21,18,9,91,98
2024,11,26,21,18,13,93,98
2024,11,26,21,18,17,94,98
2024,11,26,21,18,21,93,98
2024,11,26,21,18,25,96,98
2024,11,26,21,18,29,96,98
2024,11,26,21,18,33,96,98
2024,11,26,21,18,37,96,98
2024,11,26,21,18,41,96,98
2024,11,26,21,18,45,98,98
2024,11,26,21,18,49,97,98
2024,11,26,21,18,53,99,98
2024,11,26,21,18,57,99,98
2024,11,26,21,19,1,102,98
2024,11,26,21,19,5,101,98
2024,11,26,21,19,9,99,98
2024,11,26,21,19,13,95,98
2024,11,26,21,19,17,98,98
2024,11,26,21,19,21,95,98
2024,11,26,21,19,25,94,98
2024,11,26,21,19,29,96,98
2024,11,26,21,19,33,98,98
2024,11,26,21,19,37,97,98
2024,11,26,21,19,41,104,98
2024,11,26,21,19,45,99,98
2024,11,26,21,19,49,99,98
2024,11,26,21,19,53,98,98
2024,11,26,21,19,57,93,98
2024,11,26,21,20,1,90,98
2024,11,26,21,20,5,89,98
2024,11,26,21,20,9,90,98
2024,11,26,21,20,13,90,98
2024,11,26,21,20,17,90,98
2024,11,26,21,20,21,89,98
2024,11,26,21,20,25,93,98
2024,11,26,21,20,29,94,98
2024,11,26,21,20,33,89,98
2024,11,26,21,20,37,86,98
2024,11,26,21,20,41,85,98
2024,11,26,21,20,45,89,98
2024,11,26,21,20,49,89,98
2024,11,26,21,20,53,89,98
2024,11,26,21,20,57,89,98
2024,11,26,21,21,1,90,98
2024,11,26,21,21,5,92,98
2024,11,26,21,21,9,93,98
2024,11,26,21,21,13,90,98
2024,11,26,21,21,17,90,98
2024,11,26,21,21,21,89,98
2024,11,26,21,21,25,95,98
2024,11,26,21,21,29,98,98
2024,11,26,21,21,33,96,98
2024,11,26,21,21,37,95,98
2024,11,26,21,21,41,95,98
